file,left-top,right-top,left-bottom,right-bottom
0,"250, 302","2706, 344","250, 3861","2767, 3817",
1,"338, 515","2557, 398","338, 3621","2615, 3701",
2,"263, 433","2588, 352","263, 3656","2588, 3737",
3,"421, 430","2776, 471","301, 3878","2776, 3921",
4,"513, 437","2607, 363","513, 3513","2767, 3435",
5,"88, 175","2640, 131","88, 3838","2704, 3793",
6,"496, 493","2684, 455","336, 3543","2570, 3739",
7,"275, 360","2781, 316","275, 3903","2844, 3947",
8,"213, 148","2790, 103","213, 3824","2854, 3778",
9,"387, 191","2859, 235","211, 3548","2606, 3843",
10,"356, 354","2772, 270","295, 3897","2897, 3852",
11,"225, 348","2738, 304","225, 3877","2738, 3921",
12,"175, 174","2725, 129","175, 3812","2726, 3767",
13,"163, 312","2668, 268","163, 3912","2730, 3867",
14,"200, 198","2688, 155","200, 3736","2688, 3693",
15,"178, 174","2838, 127","243, 3911","2838, 3865",
16,"197, 173","2738, 129","134, 3763","2738, 3808",
17,"125, 212","2741, 167","125, 3988","2807, 3941",
18,"140, 124","2839, 77","207, 3974","2907, 3927",
19,"343, 316","2557, 354","170, 3612","2613, 3569",
20,"300, 209","2838, 165","300, 3810","2838, 3765",
21,"359, 221","2901, 176","296, 3815","2901, 3861",
22,"542, 467","2624, 431","486, 3652","2899, 3568",
23,"519, 544","2715, 582","354, 3686","2658, 3848",
24,"213, 258","2715, 127","213, 3780","2781, 3869",
25,"365, 242","2841, 155","241, 3793","2906, 3886",
26,"381, 320","2693, 280","438, 3607","2750, 3567",
27,"320, 309","2680, 268","260, 3748","2740, 3705",
28,"221, 223","2813, 178","157, 3925","2813, 3972",
29,"306, 334","2763, 291","366, 3784","2763, 3742",
30,"413, 307","2818, 265","413, 3770","2878, 3727",
31,"392, 491","2650, 412","336, 3653","2651, 3774",
32,"150, 199","2860, 152","150, 3940","2793, 4031",
33,"175, 49","2913, 1","175, 3887","2846, 3840",
34,"115, 137","2825, 90","182, 3975","2826, 3883",
35,"405, 420","2600, 382","351, 3516","2601, 3634",
36,"309, 184","2848, 140","248, 3711","2783, 3843",
37,"357, 333","2781, 291","295, 3872","2842, 3828",
38,"416, 507","2700, 467","360, 3741","2701, 3782",
39,"377, 370","2664, 330","210, 3564","2545, 3727",
40,"250, 160","2813, 115","250, 3798","2813, 3753",
41,"313, 406","2699, 323","313, 3859","2821, 3816",
42,"140, 350","2627, 219","329, 3958","2876, 3780",
43,"409, 245","2809, 203","231, 3653","2746, 3829",
44,"219, 334","2625, 250","160, 3718","2626, 3848",
45,"166, 211","2706, 167","230, 3886","2833, 3795",
46,"355, 430","2700, 348","298, 3713","2701, 3839",
47,"351, 296","2779, 253","234, 3653","2654, 3822",
48,"263, 260","2700, 217","263, 3690","2701, 3732",
49,"372, 470","2643, 431","202, 3713","2583, 3880",
50,"238, 385","2662, 343","238, 3936","2785, 3847",
51,"363, 576","2599, 459","363, 3846","2774, 3804",
52,"297, 409","2638, 368","180, 3770","2638, 3898",
53,"260, 135","2911, 89","196, 3808","2844, 3947",
54,"305, 309","2776, 266","366, 3796","2776, 3754",
55,"238, 309","2550, 228","238, 3522","2551, 3643",
56,"315, 265","2738, 307","192, 3789","2738, 3833",
57,"242, 260","2784, 216","304, 3797","2722, 3755",
58,"141, 174","2700, 130","203, 3774","2701, 3730",
59,"263, 443","2631, 319","263, 3769","2693, 3854",
60,"200, 323","2655, 281","200, 3861","2717, 3818",
61,"294, 359","2699, 317","232, 3923","2823, 3878",
62,"279, 335","2678, 293","104, 3681","2553, 3853",
